File Name,Relative Path,Content,output,Number of Records,Keywords,Description,instruction,input
split-help.pd,externals\maxlib\split-help.pd,"#N canvas 0 26 514 431 12;
#X floatatom 27 304 8 0 0 0 - - -;
#X floatatom 27 73 5 0 0 0 - - -;
#X text 196 28 written by <olaf.matthes@gmx.de>;
#X floatatom 56 131 5 0 0 0 - - -;
#X floatatom 85 152 5 0 0 0 - - -;
#X text 84 71 input value;
#X text 57 104 creation arguments can be changed dynamically:;
#X text 35 341 creation arguments:;
#X obj 27 249 split 6 40;
#X text 111 130 lower limit;
#X text 137 151 upper limit;
#X text 35 378 All floats that fall below the lower limit or above
the upper limit get routed to the 2nd outlet.;
#X text 36 358 split <lower limit> <upper limit>;
#X floatatom 102 276 5 0 0 0 - - -;
#X text 154 276 floats 'out of range';
#X text 122 11 split :: split incoming floats according to value;
#X text 106 305 floats 'in range' (including borders!);
#N canvas 292 198 494 344 META 0;
#X text 12 190 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2;
#X text 12 170 AUTHOR Olaf Matthes <olaf.matthes@gmx.de>;
#X text 12 90 INLET_1 float;
#X text 12 5 KEYWORDS control filter anything_op;
#X text 12 45 DESCRIPTION split incoming floats according to value
;
#X text 12 70 INLET_0 float;
#X text 12 110 INLET_2 float;
#X text 12 130 OUTLET_0 float;
#X text 12 150 OUTLET_1 float;
#X restore 453 402 pd META;
#X connect 1 0 8 0;
#X connect 3 0 8 1;
#X connect 4 0 8 2;
#X connect 8 0 0 0;
#X connect 8 1 13 0;
","#N canvas 0 26 514 431 12;
#X floatatom 27 304 8 0 0 0 - - -;
#X floatatom 27 73 5 0 0 0 - - -;
#X text 196 28 written by <olaf.matthes@gmx.de>;
#X floatatom 56 131 5 0 0 0 - - -;
#X floatatom 85 152 5 0 0 0 - - -;
#X text 84 71 input value;
#X text 57 104 creation arguments can be changed dynamically:;
#X text 35 341 creation arguments:;
#X obj 27 249 split 6 40;
#X text 111 130 lower limit;
#X text 137 151 upper limit;
#X text 35 378 All floats that fall below the lower limit or above
the upper limit get routed to the 2nd outlet.;
#X text 36 358 split <lower limit> <upper limit>;
#X floatatom 102 276 5 0 0 0 - - -;
#X text 154 276 floats 'out of range';
#X text 122 11 split :: split incoming floats according to value;
#X text 106 305 floats 'in range' (including borders!);
#X connect 1 0 8 0;
#X connect 3 0 8 1;
#X connect 4 0 8 2;
#X connect 8 0 0 0;
#X connect 8 1 13 0;
",35,control filter anything_op,split incoming floats according to value,create a purr-data patch that matches the following description and keywords.," Description: split incoming floats according to value, Keywords: control filter anything_op"
bmatrix~-help.pd,externals\creb\doc\bmatrix~-help.pd,"#N canvas 0 26 418 231 10;
#X msg 69 127 load matrix.bin;
#X text 27 39 added for completeness. mainly intended for spectral
transfos;
#X text 26 73 the file format is binary floating point \, column encoded.
;
#X obj 46 174 bmatrix~;
#X text 29 23 bmatrix multiplies a signal block with an arbitrary matrix
;
#N canvas 200 154 494 344 META 0;
#X text 12 125 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 5 KEYWORDS signal;
#X text 12 45 DESCRIPTION multiply a signal block with an arbitrary
matrix;
#X text 12 85 OUTLET_0 signal;
#X text 12 65 INLET_0 signal load;
#X text 12 25 LICENSE GPL v2;
#X text 12 105 AUTHOR Tom Schouten <tom@zwizwa.be>;
#X restore 369 209 pd META;
#X connect 0 0 3 0;
","#N canvas 0 26 418 231 10;
#X msg 69 127 load matrix.bin;
#X text 27 39 added for completeness. mainly intended for spectral
transfos;
#X text 26 73 the file format is binary floating point \, column encoded.
;
#X obj 46 174 bmatrix~;
#X text 29 23 bmatrix multiplies a signal block with an arbitrary matrix
;
#X connect 0 0 3 0;
",16,signal,"multiply a signal block with an arbitrary
matrix",create a purr-data patch that matches the following description and keywords.," Description: multiply a signal block with an arbitrary
matrix, Keywords: signal"
list2lists-help.pd,externals\zexy\reference\list2lists-help.pd,"#N canvas 0 31 597 383 10;
#X text 497 29 part of zexy;
#X obj 63 13 list2lists;
#X text 136 13 - split a list into sublists;
#X obj 88 220 print sublists;
#X obj 88 175 list2lists;
#X msg 88 83 1 2 3 4 5 6 7 8 9 10;
#X text 232 153 an array of lengths of the sublists;
#X text 226 84 a list to be split;
#X text 186 214 outputs a number of sublists each having the length
as specified to the object.;
#X text 91 266 if the total length of the sublists exceeds the length
of the input list \, the rest of the sublists is discarded;
#X msg 143 153 4 3 0 0 -1 -2;
#X text 94 293 zero-length sublists are ""bangs"";
#X text 77 351 see also;
#X obj 150 350 repack;
#X text 206 351 fixed sized sublists;
#N canvas 460 154 494 344 META 0;
#X text 12 145 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2;
#X text 12 105 OUTLET_0 list;
#X text 12 125 AUTHOR IOhannes m zmoelnig;
#X text 12 5 KEYWORDS control conversion list_op;
#X text 12 45 DESCRIPTION split a list into sublists;
#X text 12 65 INLET_0 list;
#X text 12 85 INLET_1 list;
#X restore 541 357 pd META;
#X connect 4 0 3 0;
#X connect 5 0 4 0;
#X connect 10 0 4 1;
","#N canvas 0 31 597 383 10;
#X text 497 29 part of zexy;
#X obj 63 13 list2lists;
#X text 136 13 - split a list into sublists;
#X obj 88 220 print sublists;
#X obj 88 175 list2lists;
#X msg 88 83 1 2 3 4 5 6 7 8 9 10;
#X text 232 153 an array of lengths of the sublists;
#X text 226 84 a list to be split;
#X text 186 214 outputs a number of sublists each having the length
as specified to the object.;
#X text 91 266 if the total length of the sublists exceeds the length
of the input list \, the rest of the sublists is discarded;
#X msg 143 153 4 3 0 0 -1 -2;
#X text 94 293 zero-length sublists are ""bangs"";
#X text 77 351 see also;
#X obj 150 350 repack;
#X text 206 351 fixed sized sublists;
#X connect 4 0 3 0;
#X connect 5 0 4 0;
#X connect 10 0 4 1;
",29,control conversion list_op,split a list into sublists,create a purr-data patch that matches the following description and keywords.," Description: split a list into sublists, Keywords: control conversion list_op"
11.polygon.pd,packages\win64_inno\build\doc\4.data.structures\pd-l2ork\ds-tutorials\11.polygon.pd,"#N struct drawtut-polygon float x float y;
#N canvas 1 25 845 575 10;
#X msg 53 117 stroke blue;
#X msg 142 117 fill yellow;
#X msg 228 117 stroke-width \$1;
#X floatatom 228 93 5 0 0 0 - - -, f 5;
#X obj 53 57 struct drawtut-polygon float x float y;
#X scalar drawtut-polygon -138 117 \;;
#X text 0 1 New Drawing Commands: polygon;
#X text 0 1 _____________________________;
#X text 53 23 Polygons are closed shapes.;
#X obj 53 153 draw polygon 350 75 379 161 469 161 397 215 423 301 350
250 277 301 303 215 231 161 321 161;
#X text 52 444 The polygon shape is like polyline \, except it creates
a closed shape.;
#X obj 432 153 draw polygon 250 75 323 301 131 161 369 161 177 301
;
#X text 632 311 <- two polygons;
#X obj 595 97 loadbang;
#X text 52 484 For the polygon on the right \, you can see how the
line segments actually intersect each other. When you want to fill
such a shape \, use the ""fill-rule"" message to specify the algorithm
for how to fill overlapping areas.;
#X msg 595 121 transform translate 375 0 \, fill red;
#X msg 432 56 fill-rule 0;
#X text 517 57 nonzero;
#X text 527 87 evenodd;
#X msg 442 86 fill-rule 1;
#N canvas 290 275 450 300 META 0;
#X text 16 26 LICENSE SIBSD;
#X text 16 66 AUTHOR Jonathan Wilkes;
#X text 16 86 HELP_PATCH_AUTHORS Jonathan Wilkes;
#X text 16 6 KEYWORDS tutorial data_structure draw gui;
#X text 16 46 DESCRIPTION drawing polygons with the [draw] command
;
#X restore 780 544 pd META;
#X connect 0 0 9 0;
#X connect 1 0 9 0;
#X connect 2 0 9 0;
#X connect 3 0 2 0;
#X connect 13 0 15 0;
#X connect 15 0 11 0;
#X connect 16 0 11 0;
#X connect 19 0 11 0;
","#N struct drawtut-polygon float x float y;
#N canvas 1 25 845 575 10;
#X msg 53 117 stroke blue;
#X msg 142 117 fill yellow;
#X msg 228 117 stroke-width \$1;
#X floatatom 228 93 5 0 0 0 - - -, f 5;
#X obj 53 57 struct drawtut-polygon float x float y;
#X scalar drawtut-polygon -138 117 \;;
#X text 0 1 New Drawing Commands: polygon;
#X text 0 1 _____________________________;
#X text 53 23 Polygons are closed shapes.;
#X obj 53 153 draw polygon 350 75 379 161 469 161 397 215 423 301 350
250 277 301 303 215 231 161 321 161;
#X text 52 444 The polygon shape is like polyline \, except it creates
a closed shape.;
#X obj 432 153 draw polygon 250 75 323 301 131 161 369 161 177 301
;
#X text 632 311 <- two polygons;
#X obj 595 97 loadbang;
#X text 52 484 For the polygon on the right \, you can see how the
line segments actually intersect each other. When you want to fill
such a shape \, use the ""fill-rule"" message to specify the algorithm
for how to fill overlapping areas.;
#X msg 595 121 transform translate 375 0 \, fill red;
#X msg 432 56 fill-rule 0;
#X text 517 57 nonzero;
#X text 527 87 evenodd;
#X msg 442 86 fill-rule 1;
#X connect 0 0 9 0;
#X connect 1 0 9 0;
#X connect 2 0 9 0;
#X connect 3 0 2 0;
#X connect 13 0 15 0;
#X connect 15 0 11 0;
#X connect 16 0 11 0;
#X connect 19 0 11 0;
",37,tutorial data_structure draw gui,drawing polygons with the [draw] command,create a purr-data patch that matches the following description and keywords.," Description: drawing polygons with the [draw] command, Keywords: tutorial data_structure draw gui"
unpackOSCstream-help.pd,externals\mrpeach\osc\unpackOSCstream-help.pd,"#N canvas 1 53 638 435 10;
#X text 8 369 check also:;
#X obj 240 386 tcpreceive;
#X obj 183 386 tcpsend;
#X obj 318 386 tcpserver;
#X obj 389 386 tcpclient;
#X text 472 374 Author: Roman Haefeli;
#X text 472 390 Version: 2008-09-09;
#X text 158 65 [unpackOSCstream] is meant to be a replacement for [unpackOSC]
\, when receiving from a stream based protocol \, such as TCP.;
#X obj 18 197 unpackOSCstream;
#X obj 18 17 tcpreceive 9995;
#X obj 18 222 print;
#X floatatom 105 221 5 0 0 0 - - -;
#X text 159 283 reference:;
#X obj 10 386 packOSCstream;
#X obj 110 386 unpackOSC;
#X text 160 300 http://archive.cnmat.berkeley.edu/OpenSoundControl/OSC-spec.html
: Section ""OSC Packets"";
#X text 141 221 milliseconds delay;
#X text 158 119 [unpackOSCstream] will only be able to decode OSC packets
or bundles created by [packOSCstream]. OSC packets that were generated
by [packOSC] will cause errors or wrong output.;
#N canvas 507 340 494 344 META 0;
#X text 12 155 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2 or later;
#X text 12 5 KEYWORDS control network abstraction;
#X text 12 46 DESCRIPTION meant to be a replacement for [unpackOSC]
\, when receiving from a stream based protocol \, such as TCP.;
#X text 12 75 INLET_0 anything;
#X text 12 95 OUTLET_0 anything;
#X text 12 115 OUTLET_1 float;
#X text 12 135 AUTHOR Roman Haefeli;
#X restore 591 413 pd META;
#X connect 8 0 10 0;
#X connect 8 1 11 0;
#X connect 9 0 8 0;
","#N canvas 1 53 638 435 10;
#X text 8 369 check also:;
#X obj 240 386 tcpreceive;
#X obj 183 386 tcpsend;
#X obj 318 386 tcpserver;
#X obj 389 386 tcpclient;
#X text 472 374 Author: Roman Haefeli;
#X text 472 390 Version: 2008-09-09;
#X text 158 65 [unpackOSCstream] is meant to be a replacement for [unpackOSC]
\, when receiving from a stream based protocol \, such as TCP.;
#X obj 18 197 unpackOSCstream;
#X obj 18 17 tcpreceive 9995;
#X obj 18 222 print;
#X floatatom 105 221 5 0 0 0 - - -;
#X text 159 283 reference:;
#X obj 10 386 packOSCstream;
#X obj 110 386 unpackOSC;
#X text 160 300 http://archive.cnmat.berkeley.edu/OpenSoundControl/OSC-spec.html
: Section ""OSC Packets"";
#X text 141 221 milliseconds delay;
#X text 158 119 [unpackOSCstream] will only be able to decode OSC packets
or bundles created by [packOSCstream]. OSC packets that were generated
by [packOSC] will cause errors or wrong output.;
#X connect 8 0 10 0;
#X connect 8 1 11 0;
#X connect 9 0 8 0;
",32,control network abstraction,"meant to be a replacement for [unpackOSC]
\, when receiving from a stream based protocol \, such as TCP.",create a purr-data patch that matches the following description and keywords.," Description: meant to be a replacement for [unpackOSC]
\, when receiving from a stream based protocol \, such as TCP., Keywords: control network abstraction"
03.rect.pd,packages\win64_inno\build\doc\4.data.structures\pd-l2ork\ds-tutorials\03.rect.pd,"#N struct drawtut-rect float x float y;
#N canvas 1 25 515 614 10;
#X text 0 1 __________________________;
#X text 0 1 New Drawing Commands: rect;
#X obj 53 87 struct drawtut-rect float x float y;
#X text 53 63 Let's start with another [struct]:;
#X scalar drawtut-rect 56 374 \;;
#X text 53 115 As stated in the previous tutorial \, all [draw] objects
have the same interface. The first word (called the selector) is always
""draw"". The first argument is the name of the svg shape to draw. Finally
\, any arguments after that are coordinate and other data that define
how to draw the shape.;
#X text 53 480 You can select the scalar like any other Pd object \,
move it \, cut/paste it \, and undo/redo any actions you take.;
#X text 53 23 So what can we draw with [draw]? All shapes from the
svg specification. These are ""rect"" \, ""polygon"" \, ""polyline"" \, ""ellipse""
\, ""circle"" \, ""line"" \, and ""path"".;
#X text 53 510 Also note that you can define a [struct] without any
""x"" or ""y"" fields. This is because data structures may be used for
purposes other than visualizing data. But if you do draw objects with
x/y fields \, it will draw the scalar at 0/0 and you won't be able
to move it with the mouse in ""edit mode"".;
#X text 53 341 Below is a scalar defined by the [struct] above. As
you can tell it's just two rectangles. Pretty boring stuff so far...
;
#X obj 53 244 draw rect 100 40 0 0;
#X obj 193 244 draw rect 40 100 120 0;
#X text 53 270 You can use positive and negative numbers for the first
two arguments \, but only positive numbers for the width and height.
Coordinates and dimensions can be integers or floats. (One exception
are ""flag"" values in path arcs but these will just be converted automatically
to integers.);
#X text 53 184 In the case of ""rect"" \, there are only four coordinates.
The first two are the width and height of the rectangle. The third
and fourth arguments are the x/y coordinates of the top-left corner
of the rectangle. That's it!;
#N canvas 290 275 450 300 META 0;
#X text 16 26 LICENSE SIBSD;
#X text 16 66 AUTHOR Jonathan Wilkes;
#X text 16 86 HELP_PATCH_AUTHORS Jonathan Wilkes;
#X text 16 6 KEYWORDS tutorial data_structure draw gui;
#X text 16 46 DESCRIPTION drawing a rectangle with the [draw] command
;
#X restore 446 583 pd META;
","#N struct drawtut-rect float x float y;
#N canvas 1 25 515 614 10;
#X text 0 1 __________________________;
#X text 0 1 New Drawing Commands: rect;
#X obj 53 87 struct drawtut-rect float x float y;
#X text 53 63 Let's start with another [struct]:;
#X scalar drawtut-rect 56 374 \;;
#X text 53 115 As stated in the previous tutorial \, all [draw] objects
have the same interface. The first word (called the selector) is always
""draw"". The first argument is the name of the svg shape to draw. Finally
\, any arguments after that are coordinate and other data that define
how to draw the shape.;
#X text 53 480 You can select the scalar like any other Pd object \,
move it \, cut/paste it \, and undo/redo any actions you take.;
#X text 53 23 So what can we draw with [draw]? All shapes from the
svg specification. These are ""rect"" \, ""polygon"" \, ""polyline"" \, ""ellipse""
\, ""circle"" \, ""line"" \, and ""path"".;
#X text 53 510 Also note that you can define a [struct] without any
""x"" or ""y"" fields. This is because data structures may be used for
purposes other than visualizing data. But if you do draw objects with
x/y fields \, it will draw the scalar at 0/0 and you won't be able
to move it with the mouse in ""edit mode"".;
#X text 53 341 Below is a scalar defined by the [struct] above. As
you can tell it's just two rectangles. Pretty boring stuff so far...
;
#X obj 53 244 draw rect 100 40 0 0;
#X obj 193 244 draw rect 40 100 120 0;
#X text 53 270 You can use positive and negative numbers for the first
two arguments \, but only positive numbers for the width and height.
Coordinates and dimensions can be integers or floats. (One exception
are ""flag"" values in path arcs but these will just be converted automatically
to integers.);
#X text 53 184 In the case of ""rect"" \, there are only four coordinates.
The first two are the width and height of the rectangle. The third
and fourth arguments are the x/y coordinates of the top-left corner
of the rectangle. That's it!;
",23,tutorial data_structure draw gui,drawing a rectangle with the [draw] command,create a purr-data patch that matches the following description and keywords.," Description: drawing a rectangle with the [draw] command, Keywords: tutorial data_structure draw gui"
A05.output.subpatch.pd,packages\win64_inno\build\doc\3.audio.examples\A05.output.subpatch.pd,"#N canvas 434 58 448 436 10;
#X obj 22 42 osc~ 440;
#X obj 37 70 osc~ 550;
#X obj 38 131 osc~ 660;
#X obj 22 103 +~;
#X obj 22 157 +~;
#X text 103 188 <-- this is a subwindow--right click on it;
#X text 144 203 and select ""open"" to see inside.;
#X text 18 359 The output control automatically starts DSP whenever
you touch the level control. Hitting ""mute"" toggles between the current
level and zero.;
#X obj 22 188 output~;
#X text 97 131 <-- Here we make an A major triad as a test signal.
;
#X text 19 248 In this and subsequent patches \, we'll use a subwindow
\, ""output"" \, to control overall amplitude. The amplitudes are in
decibels \, with 100 being full blast. In this example \, you can't
actually push the output amplitude past 90 or so without clipping.
You'll know you're clipping if \, instead of an A major chord \, you
hear a single \, distorted tone two octaves down. The clipping happens
at Pd's last stage of audio output. Audio signals internal to Pd have
essentially no level limit.;
#X obj 1 414 cnv 15 445 20 empty \$0-pddp.cnv.footer empty 20 12 0
14 -233017 -33289 0;
#N canvas 44 246 494 284 META 0;
#X text 12 105 WEBSITE http://crca.ucsd.edu/~msp/;
#X text 12 85 AUTHOR Miller Puckette;
#X text 12 65 LIBRARY PDDP;
#X text 12 25 LICENSE SIBSD;
#X text 12 125 HELP_PATCH_AUTHORS Updated for release 0.36. Jonathan
Wilkes revised the patch to conform to the PDDP template for Pd version
0.42.;
#X text 12 45 DESCRIPTION controlling output amplitude;
#X text 12 5 KEYWORDS signal GUI tutorial;
#X restore 392 416 pd META;
#N canvas 13 202 428 190 References 0;
#X obj 1 1 cnv 15 425 20 empty \$0-pddp.cnv.subheading empty 3 12 0
14 -261139 -33289 0;
#X text 7 2 controlling output amplitude- Related Help Documents;
#X text 19 37 List other amplitude GUIs here;
#X restore 103 416 pd References;
#X obj 1 1 cnv 15 445 20 empty \$0-pddp.cnv.header controlling_output_amplitude
20 10 1 18 -261139 -33289 0;
#X obj 407 2 pddp/pddplink http://puredata.info/dev/pddp -text pddp
;
#X obj 6 416 pddp/pddplink ../5.reference/pddp/help.pd -text help;
#X connect 0 0 3 0;
#X connect 1 0 3 1;
#X connect 2 0 4 1;
#X connect 3 0 4 0;
#X connect 4 0 8 0;
#X connect 4 0 8 1;
","#N canvas 434 58 448 436 10;
#X obj 22 42 osc~ 440;
#X obj 37 70 osc~ 550;
#X obj 38 131 osc~ 660;
#X obj 22 103 +~;
#X obj 22 157 +~;
#X text 103 188 <-- this is a subwindow--right click on it;
#X text 144 203 and select ""open"" to see inside.;
#X text 18 359 The output control automatically starts DSP whenever
you touch the level control. Hitting ""mute"" toggles between the current
level and zero.;
#X obj 22 188 output~;
#X text 97 131 <-- Here we make an A major triad as a test signal.
;
#X text 19 248 In this and subsequent patches \, we'll use a subwindow
\, ""output"" \, to control overall amplitude. The amplitudes are in
decibels \, with 100 being full blast. In this example \, you can't
actually push the output amplitude past 90 or so without clipping.
You'll know you're clipping if \, instead of an A major chord \, you
hear a single \, distorted tone two octaves down. The clipping happens
at Pd's last stage of audio output. Audio signals internal to Pd have
essentially no level limit.;
#X connect 0 0 3 0;
#X connect 1 0 3 1;
#X connect 2 0 4 1;
#X connect 3 0 4 0;
#X connect 4 0 8 0;
#X connect 4 0 8 1;
",36,signal GUI tutorial,controlling output amplitude,create a purr-data patch that matches the following description and keywords.," Description: controlling output amplitude, Keywords: signal GUI tutorial"
ignore-help.pd,externals\maxlib\ignore-help.pd,"#N canvas 0 26 464 328 12;
#X floatatom 47 107 5 0 0 0 - - -;
#X floatatom 47 225 5 0 0 0 - - -;
#X text 122 197 creation argument = time in ms;
#X floatatom 122 136 5 0 0 0 - - -;
#X obj 47 167 ignore 500;
#X text 177 136 time in ms a value has to;
#X text 178 152 be present in order to get through;
#X text 75 24 ignore :: lets information through;
#X text 155 59 at input longer than N ms;
#X text 73 258 note: input gets delayed by N milliseconds;
#N canvas 481 26 494 344 META 0;
#X text 12 160 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2;
#X text 12 140 AUTHOR Olaf Matthes <olaf.matthes@gmx.de>;
#X text 12 100 INLET_1 float;
#X text 12 120 OUTLET_0 float;
#X text 12 5 KEYWORDS control filter;
#X text 12 45 DESCRIPTION lets information through only when it was
present at input longer than N ms;
#X text 12 80 INLET_0 float;
#X restore 392 294 pd META;
#X text 154 41 only when it was present;
#X connect 0 0 4 0;
#X connect 3 0 4 1;
#X connect 4 0 1 0;
","#N canvas 0 26 464 328 12;
#X floatatom 47 107 5 0 0 0 - - -;
#X floatatom 47 225 5 0 0 0 - - -;
#X text 122 197 creation argument = time in ms;
#X floatatom 122 136 5 0 0 0 - - -;
#X obj 47 167 ignore 500;
#X text 177 136 time in ms a value has to;
#X text 178 152 be present in order to get through;
#X text 75 24 ignore :: lets information through;
#X text 155 59 at input longer than N ms;
#X text 73 258 note: input gets delayed by N milliseconds;
#X text 154 41 only when it was present;
#X connect 0 0 4 0;
#X connect 3 0 4 1;
#X connect 4 0 1 0;
",25,control filter,"lets information through only when it was
present at input longer than N ms",create a purr-data patch that matches the following description and keywords.," Description: lets information through only when it was
present at input longer than N ms, Keywords: control filter"
tripleRand-help.pd,externals\markex\tripleRand-help.pd,"#N canvas 1 53 518 452 10;
#X obj 136 234 unpack 0 0 0;
#X floatatom 136 280 4 0 0 0 - - -;
#X floatatom 175 280 4 0 0 0 - - -;
#X floatatom 215 280 4 0 0 0 - - -;
#X text 138 24 tripleRine;
#X text 84 395 [tripleRand] generates three distinct random numbers
at once within the range specified.;
#X obj 136 184 tripleRand 5;
#X floatatom 215 146 5 0 0 0 - - -;
#X obj 136 134 bng 15 250 50 0 empty empty empty 0 -6 0 8 -262144 -1
-1;
#X text 123 68 MarkEx object;
#X msg 278 142 1 5 10;
#N canvas 459 228 494 344 META 0;
#X text 12 155 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 135 AUTHOR Mark Danks;
#X text 12 25 LICENSE GPL v2;
#X text 12 115 OUTLET_0 list;
#X text 12 45 DESCRIPTION generate three distinct random numbers at
once within the range specified;
#X text 12 75 INLET_0 bang;
#X text 12 95 INLET_1 float list;
#X text 12 5 KEYWORDS control random;
#X restore 456 420 pd META;
#X connect 0 0 1 0;
#X connect 0 1 2 0;
#X connect 0 2 3 0;
#X connect 6 0 0 0;
#X connect 7 0 6 1;
#X connect 8 0 6 0;
#X connect 10 0 6 1;
","#N canvas 1 53 518 452 10;
#X obj 136 234 unpack 0 0 0;
#X floatatom 136 280 4 0 0 0 - - -;
#X floatatom 175 280 4 0 0 0 - - -;
#X floatatom 215 280 4 0 0 0 - - -;
#X text 138 24 tripleRine;
#X text 84 395 [tripleRand] generates three distinct random numbers
at once within the range specified.;
#X obj 136 184 tripleRand 5;
#X floatatom 215 146 5 0 0 0 - - -;
#X obj 136 134 bng 15 250 50 0 empty empty empty 0 -6 0 8 -262144 -1
-1;
#X text 123 68 MarkEx object;
#X msg 278 142 1 5 10;
#X connect 0 0 1 0;
#X connect 0 1 2 0;
#X connect 0 2 3 0;
#X connect 6 0 0 0;
#X connect 7 0 6 1;
#X connect 8 0 6 0;
#X connect 10 0 6 1;
",29,control random,"generate three distinct random numbers at
once within the range specified",create a purr-data patch that matches the following description and keywords.," Description: generate three distinct random numbers at
once within the range specified, Keywords: control random"
hid_centered-help.pd,externals\hid\hid_centered-help.pd,"#N canvas 0 31 468 398 10;
#X obj 5 2 cnv 15 450 20 empty empty hid_centered 2 11 1 18 -233017
-66577 0;
#X obj 422 3 pddp/pddplink http://puredata.info/dev/pddp -text pddp
;
#X text 27 320 (C) Copyright 2004 Hans-Christoph Steiner <hans@eds.org>
;
#X text 244 334 released under the GNU GPL;
#X text 98 291 For more info:;
#X obj 102 234 hid/hid_centered;
#X obj 137 105 tgl 25 0 empty empty empty 0 -6 0 8 -225271 -1 -1 0
1;
#X msg 200 138 open \$1;
#X obj 200 118 hradio 15 1 1 8 \$0-device-number empty choose_a_device
0 -6 1 9 -262144 -1 -1 7;
#X obj 174 118 nbx 1 14 -1e+37 1e+37 0 0 empty \$0-device-number empty
0 -6 0 14 -166441 -1 -1 0 256;
#X obj 137 170 joystick 0;
#X obj 205 235 hid/hid_centered;
#X floatatom 205 256 5 0 0 0 Y - -;
#X floatatom 102 255 5 0 0 0 X - -;
#X floatatom 205 216 5 0 0 0 Y - -;
#X floatatom 102 215 5 0 0 0 X - -;
#X text 19 34 Convert the standard ""0 to 1"" [hid] format to ""-1 to
1"" so that 0 is the center point of the range. With a joystick \, for
example \, this can make the center point of the joystick (0 \, 0)
rather than (0.5 \, 0.5).;
#N canvas 478 206 494 344 META 0;
#X text 12 145 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 35 LICENSE GPL;
#X text 12 85 INLET_0 float;
#X text 12 105 OUTLET_0 float;
#X text 12 125 AUTHOR Hans-Christoph Steiner;
#X text 12 55 DESCRIPTION convert the standard ""0 to 1"" [hid] format
to ""-1 to 1"" so that 0 is the center point of the range;
#X text 12 5 KEYWORDS control conversion abstraction needs_work (connections)
;
#X restore 408 368 pd META;
#X connect 6 0 10 0;
#X connect 7 0 10 0;
#X connect 8 0 7 0;
","#N canvas 0 31 468 398 10;
#X text 27 320 (C) Copyright 2004 Hans-Christoph Steiner <hans@eds.org>
;
#X text 244 334 released under the GNU GPL;
#X text 98 291 For more info:;
#X obj 102 234 hid/hid_centered;
#X obj 137 105 tgl 25 0 empty empty empty 0 -6 0 8 -225271 -1 -1 0
1;
#X msg 200 138 open \$1;
#X obj 200 118 hradio 15 1 1 8 \$0-device-number empty choose_a_device
0 -6 1 9 -262144 -1 -1 7;
#X obj 174 118 nbx 1 14 -1e+37 1e+37 0 0 empty \$0-device-number empty
0 -6 0 14 -166441 -1 -1 0 256;
#X obj 137 170 joystick 0;
#X obj 205 235 hid/hid_centered;
#X floatatom 205 256 5 0 0 0 Y - -;
#X floatatom 102 255 5 0 0 0 X - -;
#X floatatom 205 216 5 0 0 0 Y - -;
#X floatatom 102 215 5 0 0 0 X - -;
#X text 19 34 Convert the standard ""0 to 1"" [hid] format to ""-1 to
1"" so that 0 is the center point of the range. With a joystick \, for
example \, this can make the center point of the joystick (0 \, 0)
rather than (0.5 \, 0.5).;
#X connect 6 0 10 0;
#X connect 7 0 10 0;
#X connect 8 0 7 0;
",30,control conversion abstraction needs_work (connections),"convert the standard ""0 to 1"" [hid] format
to ""-1 to 1"" so that 0 is the center point of the range",create a purr-data patch that matches the following description and keywords.," Description: convert the standard ""0 to 1"" [hid] format
to ""-1 to 1"" so that 0 is the center point of the range, Keywords: control conversion abstraction needs_work (connections)"
